core_place,related_rank,related_place,visitjeju_match_name,category_datalab,address_datalab,period_start,period_end,source,visitjeju_id,category_visitjeju,place_name_visitjeju,address_visitjeju,latitude,longitude,visitjeju_matched
서귀포매일올레시장,1,천지연폭포,천지연폭포,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500618,관광지,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,33.2447173,126.5598201,True
서귀포매일올레시장,2,정방폭포,정방폭포,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500531,관광지,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,33.244854,126.5718,True
서귀포매일올레시장,3,주상절리대,대포해안주상절리대,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000020476,관광지,대포해안주상절리대,제주특별자치도 서귀포시 이어도로 36-24,33.23834,126.42586,True
서귀포매일올레시장,4,오는정김밥,오는정김밥,음식,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000020123,음식점,오는정김밥,제주특별자치도 서귀포시 동문동로 2,33.249676,126.56757,True
서귀포매일올레시장,5,동백포레스트,동백포레스트,체험관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_200000000008003,관광지,동백포레스트,서귀포시 남원읍 신례리 1767,33.299995,126.6297939,True
제주국제공항,1,동문재래시장,동문재래시장,쇼핑,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500745,쇼핑,동문재래시장,제주특별자치도 제주시 관덕로14길 20,33.5116033,126.5260192,True
제주국제공항,2,우진해장국/본관,우진해장국,음식,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_000000000018375,음식점,우진해장국,제주특별자치도 제주시 서사로 11,33.5114884,126.5200864,True
제주국제공항,3,용두암,용두암,기타관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500469,관광지,용두암,제주특별자치도 제주시 용두암길 15,33.5149624,126.5116869,True
제주국제공항,4,이호테우해변,이호테우해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_200000000007344,관광지,이호테우해수욕장,제주특별자치도 제주시 도리로 20,33.4961851,126.4559518,True
제주국제공항,5,함덕해수욕장,함덕해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500693,관광지,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427261,126.6690893,True
동문재래시장,1,제주국제공항,제주국제공항,기타관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_000000000019568,관광지,제주국제공항,제주특별자치도 제주시 공항로 2,33.5063344,126.4952613,True
동문재래시장,2,함덕해수욕장,함덕해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500693,관광지,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427261,126.6690893,True
동문재래시장,3,우진해장국/본관,우진해장국,음식,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_000000000018375,음식점,우진해장국,제주특별자치도 제주시 서사로 11,33.5114884,126.5200864,True
동문재래시장,4,용두암,용두암,기타관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500469,관광지,용두암,제주특별자치도 제주시 용두암길 15,33.5149624,126.5116869,True
동문재래시장,5,이호테우해변,이호테우해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_200000000007344,관광지,이호테우해수욕장,제주특별자치도 제주시 도리로 20,33.4961851,126.4559518,True
성산일출봉,1,섭지코지,섭지코지,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500343,관광지,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 262,33.4236948,126.9296022,True
성산일출봉,2,아쿠아플라넷/제주,아쿠아플라넷 제주,문화관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500565,관광지,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.4325283,126.9272108,True
성산일출봉,3,성산포종합여객터미널,성산포항종합여객터미널,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000022377,관광지,성산포항종합여객터미널,서귀포시 성산읍 성산등용로 130-21,33.47211,126.9332,True
성산일출봉,4,비자림,비자림,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500270,관광지,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,33.491318,126.811386,True
성산일출봉,5,함덕해수욕장,함덕해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500693,관광지,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427261,126.6690893,True
함덕해수욕장,1,김녕해수욕장,김녕해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500083,관광지,김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.5570238,126.7598808,True
함덕해수욕장,2,제주국제공항,제주국제공항,기타관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_000000000019568,관광지,제주국제공항,제주특별자치도 제주시 공항로 2,33.5063344,126.4952613,True
함덕해수욕장,3,동문재래시장,동문재래시장,쇼핑,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500745,쇼핑,동문재래시장,제주특별자치도 제주시 관덕로14길 20,33.5116033,126.5260192,True
함덕해수욕장,4,월정리해변,월정리해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500496,관광지,월정리해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 481,33.5551118,126.798641,True
함덕해수욕장,5,성산일출봉,성산일출봉,자연관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500349,관광지,성산일출봉,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.462147,126.936424,True
협재해수욕장,1,곽지해수욕장,곽지해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500056,관광지,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),33.45122,126.3058,True
협재해수욕장,2,신창풍차해안도로,신창풍차해안도로,기타관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_200000000007676,관광지,신창풍차해안도로,제주특별자치도 제주시 한경면 한경해안로 485,33.3430267,126.17217,True
협재해수욕장,3,금능해수욕장,금능해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500079,관광지,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,33.390003,126.23591,True
협재해수욕장,4,오설록티뮤지엄,오설록 티 뮤지엄,문화관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500457,관광지,오설록 티 뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.30601,126.2901309,True
협재해수욕장,5,판포포구,판포포구,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CNTS_000000000022542,관광지,판포포구,-,33.36537,126.19965,True
오설록티뮤지엄,1,카멜리아힐,카멜리아힐,문화관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000001195,관광지,카멜리아힐,제주 서귀포시 안덕면 병악로 166,33.289135,126.37011,True
오설록티뮤지엄,2,협재해수욕장,협재해수욕장,자연관광,제주특별자치도 제주시,202507,202607,KTO DataLab,CONT_000000000500697,관광지,협재해수욕장,제주 제주시 한림읍 협재리 2497-1,33.393845,126.239716,True
오설록티뮤지엄,3,바이나흐튼크리스마스박물관,바이나흐튼 크리스마스 박물관,문화관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CNTS_000000000022743,관광지,바이나흐튼 크리스마스 박물관,제주특별자치도 서귀포시 안덕면 평화로 654,33.308956,126.3279,True
오설록티뮤지엄,4,용머리해안,용머리해안,기타관광,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500471,관광지,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2334272,126.313741,True
오설록티뮤지엄,5,서귀포매일올레시장,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,202507,202607,KTO DataLab,CONT_000000000500731,쇼핑,서귀포매일올레시장,서귀포시 중앙로 62번길 18,33.24828,126.56415,True
