core_place,related_rank,related_place,category_datalab,address_datalab,visitjeju_id,place_name_visitjeju,category_visitjeju,address_visitjeju,core_latitude,core_longitude,alternative_latitude,alternative_longitude,straight_distance_km,visitjeju_matched,coordinate_available
서귀포매일올레시장,1,천지연폭포,자연관광,제주특별자치도 서귀포시,CONT_000000000500618,천지연폭포,관광지,제주특별자치도 서귀포시 남성중로 2-15,33.24828,126.56415,33.2447173,126.5598201,0.56,True,True
서귀포매일올레시장,2,정방폭포,자연관광,제주특별자치도 서귀포시,CONT_000000000500531,정방폭포,관광지,제주특별자치도 서귀포시 칠십리로214번길 37,33.24828,126.56415,33.244854,126.5718,0.81,True,True
서귀포매일올레시장,3,주상절리대,기타관광,제주특별자치도 서귀포시,CNTS_000000000020476,대포해안주상절리대,관광지,제주특별자치도 서귀포시 이어도로 36-24,33.24828,126.56415,33.23834,126.42586,12.91,True,True
서귀포매일올레시장,4,오는정김밥,음식,제주특별자치도 서귀포시,CNTS_000000000020123,오는정김밥,음식점,제주특별자치도 서귀포시 동문동로 2,33.24828,126.56415,33.249676,126.56757,0.35,True,True
서귀포매일올레시장,5,동백포레스트,체험관광,제주특별자치도 서귀포시,CNTS_200000000008003,동백포레스트,관광지,서귀포시 남원읍 신례리 1767,33.24828,126.56415,33.299995,126.6297939,8.39,True,True
제주국제공항,1,동문재래시장,쇼핑,제주특별자치도 제주시,CONT_000000000500745,동문재래시장,쇼핑,제주특별자치도 제주시 관덕로14길 20,33.5063344,126.4952613,33.5116033,126.5260192,2.91,True,True
제주국제공항,2,우진해장국/본관,음식,제주특별자치도 제주시,CNTS_000000000018375,우진해장국,음식점,제주특별자치도 제주시 서사로 11,33.5063344,126.4952613,33.5114884,126.5200864,2.37,True,True
제주국제공항,3,용두암,기타관광,제주특별자치도 제주시,CONT_000000000500469,용두암,관광지,제주특별자치도 제주시 용두암길 15,33.5063344,126.4952613,33.5149624,126.5116869,1.8,True,True
제주국제공항,4,이호테우해변,자연관광,제주특별자치도 제주시,CNTS_200000000007344,이호테우해수욕장,관광지,제주특별자치도 제주시 도리로 20,33.5063344,126.4952613,33.4961851,126.4559518,3.82,True,True
제주국제공항,5,함덕해수욕장,자연관광,제주특별자치도 제주시,CONT_000000000500693,함덕해수욕장,관광지,제주특별자치도 제주시 조천읍 조함해안로 525,33.5063344,126.4952613,33.5427261,126.6690893,16.61,True,True
동문재래시장,1,제주국제공항,기타관광,제주특별자치도 제주시,CNTS_000000000019568,제주국제공항,관광지,제주특별자치도 제주시 공항로 2,33.5116033,126.5260192,33.5063344,126.4952613,2.91,True,True
동문재래시장,2,함덕해수욕장,자연관광,제주특별자치도 제주시,CONT_000000000500693,함덕해수욕장,관광지,제주특별자치도 제주시 조천읍 조함해안로 525,33.5116033,126.5260192,33.5427261,126.6690893,13.71,True,True
동문재래시장,3,우진해장국/본관,음식,제주특별자치도 제주시,CNTS_000000000018375,우진해장국,음식점,제주특별자치도 제주시 서사로 11,33.5116033,126.5260192,33.5114884,126.5200864,0.55,True,True
동문재래시장,4,용두암,기타관광,제주특별자치도 제주시,CONT_000000000500469,용두암,관광지,제주특별자치도 제주시 용두암길 15,33.5116033,126.5260192,33.5149624,126.5116869,1.38,True,True
동문재래시장,5,이호테우해변,자연관광,제주특별자치도 제주시,CNTS_200000000007344,이호테우해수욕장,관광지,제주특별자치도 제주시 도리로 20,33.5116033,126.5260192,33.4961851,126.4559518,6.72,True,True
성산일출봉,1,섭지코지,기타관광,제주특별자치도 서귀포시,CONT_000000000500343,섭지코지,관광지,제주특별자치도 서귀포시 성산읍 섭지코지로 262,33.462147,126.936424,33.4236948,126.9296022,4.32,True,True
성산일출봉,2,아쿠아플라넷/제주,문화관광,제주특별자치도 서귀포시,CONT_000000000500565,아쿠아플라넷 제주,관광지,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.462147,126.936424,33.4325283,126.9272108,3.4,True,True
성산일출봉,3,성산포종합여객터미널,기타관광,제주특별자치도 서귀포시,CNTS_000000000022377,성산포항종합여객터미널,관광지,서귀포시 성산읍 성산등용로 130-21,33.462147,126.936424,33.47211,126.9332,1.15,True,True
성산일출봉,4,비자림,자연관광,제주특별자치도 제주시,CONT_000000000500270,비자림,관광지,제주특별자치도 제주시 구좌읍 비자숲길 55,33.462147,126.936424,33.491318,126.811386,12.04,True,True
성산일출봉,5,함덕해수욕장,자연관광,제주특별자치도 제주시,CONT_000000000500693,함덕해수욕장,관광지,제주특별자치도 제주시 조천읍 조함해안로 525,33.462147,126.936424,33.5427261,126.6690893,26.36,True,True
함덕해수욕장,1,김녕해수욕장,자연관광,제주특별자치도 제주시,CONT_000000000500083,김녕해수욕장,관광지,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.5427261,126.6690893,33.5570238,126.7598808,8.56,True,True
함덕해수욕장,2,제주국제공항,기타관광,제주특별자치도 제주시,CNTS_000000000019568,제주국제공항,관광지,제주특별자치도 제주시 공항로 2,33.5427261,126.6690893,33.5063344,126.4952613,16.61,True,True
함덕해수욕장,3,동문재래시장,쇼핑,제주특별자치도 제주시,CONT_000000000500745,동문재래시장,쇼핑,제주특별자치도 제주시 관덕로14길 20,33.5427261,126.6690893,33.5116033,126.5260192,13.71,True,True
함덕해수욕장,4,월정리해변,자연관광,제주특별자치도 제주시,CONT_000000000500496,월정리해수욕장,관광지,제주특별자치도 제주시 구좌읍 해맞이해안로 481,33.5427261,126.6690893,33.5551118,126.798641,12.08,True,True
함덕해수욕장,5,성산일출봉,자연관광,제주특별자치도 서귀포시,CONT_000000000500349,성산일출봉,관광지,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.5427261,126.6690893,33.462147,126.936424,26.36,True,True
