rank,place_name,tour_operating_match_name,weekday_open,weekday_close,weekend_open,weekend_close,break_start,break_end,operating_data_status,operating_source
1,서귀포매일올레시장,서귀포매일올레시장,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
2,제주국제공항,제주국제공항,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
3,동문재래시장,동문재래시장,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
4,성산일출봉,성산일출봉(UNESCO 세계자연유산),05:00,19:00,05:00,19:00,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
5,함덕해수욕장,함덕해수욕장,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
6,협재해수욕장,협재해수욕장,,,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
7,오설록티뮤지엄,오설록티뮤지엄,09:00,18:00,09:00,18:00,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
8,섭지코지,섭지코지,00:00,00:00,00:00,00:00,,,확인 필요,VISIT JEJU 관광콘텐츠_20260303
9,주상절리대,주상절리대(중문대포해안),09:00,17:30,09:00,17:30,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
10,용머리해안,용머리해안,09:00,17:00,09:00,17:00,,,확인 가능,VISIT JEJU 관광콘텐츠_20260303
