related_place,category_datalab,tour_operating_match_name,place_matched,weekday_open,weekday_close,weekend_open,weekend_close,operating_data_status,operating_source
산방산유채꽃밭,기타관광,산방산유채꽃밭,False,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
섭지코지,기타관광,섭지코지,True,00:00,00:00,00:00,00:00,확인 필요,VISIT JEJU 관광콘텐츠_20260303
성산포종합여객터미널,기타관광,성산포종합여객터미널,False,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
신창풍차해안도로,기타관광,신창풍차해안도로,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
용두암,기타관광,용두암,True,00:00,00:00,00:00,00:00,확인 필요,VISIT JEJU 관광콘텐츠_20260303
용머리해안,기타관광,용머리해안,True,09:00,17:00,09:00,17:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
제주국제공항,기타관광,제주국제공항,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
주상절리대,기타관광,주상절리대(중문대포해안),True,09:00,17:30,09:00,17:30,확인 가능,VISIT JEJU 관광콘텐츠_20260303
바이나흐튼크리스마스박물관,문화관광,바이나흐튼 크리스마스 박물관,True,10:30,18:00,10:30,18:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
아쿠아플라넷/제주,문화관광,아쿠아플라넷 제주,True,09:30,18:00,09:30,18:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
오설록티뮤지엄,문화관광,오설록티뮤지엄,True,09:00,18:00,09:00,18:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
카멜리아힐,문화관광,카멜리아힐,True,08:30,19:00,08:30,19:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
곽지해수욕장,자연관광,곽지해수욕장,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
광치기해변,자연관광,광치기해변,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
금능해수욕장,자연관광,금능해수욕장,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
김녕해수욕장,자연관광,김녕해수욕장,True,10:00,19:00,10:00,19:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
비자림,자연관광,비자림,True,09:00,18:00,09:00,18:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
산방산,자연관광,산방산,True,09:00,18:00,09:00,18:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
성산일출봉,자연관광,성산일출봉(UNESCO 세계자연유산),True,05:00,19:00,05:00,19:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
월정리해변,자연관광,월정리해수욕장,True,10:00,19:00,10:00,19:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
이호테우해변,자연관광,이호테우해수욕장,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
정방폭포,자연관광,정방폭포,True,09:00,17:30,09:00,17:30,확인 가능,VISIT JEJU 관광콘텐츠_20260303
천제연폭포,자연관광,천제연폭포,True,09:00,17:40,09:00,17:40,확인 가능,VISIT JEJU 관광콘텐츠_20260303
천지연폭포,자연관광,천지연폭포,True,09:00,18:00,09:00,18:00,확인 가능,VISIT JEJU 관광콘텐츠_20260303
판포포구,자연관광,판포포구,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
함덕해수욕장,자연관광,함덕해수욕장,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
협재해수욕장,자연관광,협재해수욕장,True,,,,,정보 미확보,VISIT JEJU 관광콘텐츠_20260303
동백포레스트,체험관광,동백포레스트,True,09:00,17:30,09:00,17:30,확인 가능,VISIT JEJU 관광콘텐츠_20260303
