core_place,related_rank,related_place,category_datalab,straight_distance_km,visitjeju_id,alternative_latitude,alternative_longitude,weekday_open,weekday_close,weekend_open,weekend_close,operating_data_status
서귀포매일올레시장,1,천지연폭포,자연관광,0.56,CONT_000000000500618,33.2447173,126.5598201,09:00,18:00,09:00,18:00,확인 가능
서귀포매일올레시장,2,정방폭포,자연관광,0.81,CONT_000000000500531,33.244854,126.5718,09:00,17:30,09:00,17:30,확인 가능
서귀포매일올레시장,3,주상절리대,기타관광,12.91,CNTS_000000000020476,33.23834,126.42586,09:00,17:30,09:00,17:30,확인 가능
서귀포매일올레시장,4,오는정김밥,음식,0.35,CNTS_000000000020123,33.249676,126.56757,09:00,19:00,09:00,19:00,확인 가능
서귀포매일올레시장,5,동백포레스트,체험관광,8.39,CNTS_200000000008003,33.299995,126.6297939,09:00,17:30,09:00,17:30,확인 가능
제주국제공항,1,동문재래시장,쇼핑,2.91,CONT_000000000500745,33.5116033,126.5260192,,,,,정보 미확보
제주국제공항,2,우진해장국/본관,음식,2.37,CNTS_000000000018375,33.5114884,126.5200864,06:00,22:00,06:00,22:00,확인 가능
제주국제공항,3,용두암,기타관광,1.8,CONT_000000000500469,33.5149624,126.5116869,00:00,00:00,00:00,00:00,확인 필요
제주국제공항,4,이호테우해변,자연관광,3.82,CNTS_200000000007344,33.4961851,126.4559518,,,,,정보 미확보
제주국제공항,5,함덕해수욕장,자연관광,16.61,CONT_000000000500693,33.5427261,126.6690893,,,,,정보 미확보
동문재래시장,1,제주국제공항,기타관광,2.91,CNTS_000000000019568,33.5063344,126.4952613,,,,,정보 미확보
동문재래시장,2,함덕해수욕장,자연관광,13.71,CONT_000000000500693,33.5427261,126.6690893,,,,,정보 미확보
동문재래시장,3,우진해장국/본관,음식,0.55,CNTS_000000000018375,33.5114884,126.5200864,06:00,22:00,06:00,22:00,확인 가능
동문재래시장,4,용두암,기타관광,1.38,CONT_000000000500469,33.5149624,126.5116869,00:00,00:00,00:00,00:00,확인 필요
동문재래시장,5,이호테우해변,자연관광,6.72,CNTS_200000000007344,33.4961851,126.4559518,,,,,정보 미확보
성산일출봉,1,섭지코지,기타관광,4.32,CONT_000000000500343,33.4236948,126.9296022,00:00,00:00,00:00,00:00,확인 필요
성산일출봉,2,아쿠아플라넷/제주,문화관광,3.4,CONT_000000000500565,33.4325283,126.9272108,09:30,18:00,09:30,18:00,확인 가능
성산일출봉,3,성산포종합여객터미널,기타관광,1.15,CNTS_000000000022377,33.47211,126.9332,,,,,정보 미확보
성산일출봉,4,비자림,자연관광,12.04,CONT_000000000500270,33.491318,126.811386,09:00,18:00,09:00,18:00,확인 가능
성산일출봉,5,함덕해수욕장,자연관광,26.36,CONT_000000000500693,33.5427261,126.6690893,,,,,정보 미확보
함덕해수욕장,1,김녕해수욕장,자연관광,8.56,CONT_000000000500083,33.5570238,126.7598808,10:00,19:00,10:00,19:00,확인 가능
함덕해수욕장,2,제주국제공항,기타관광,16.61,CNTS_000000000019568,33.5063344,126.4952613,,,,,정보 미확보
함덕해수욕장,3,동문재래시장,쇼핑,13.71,CONT_000000000500745,33.5116033,126.5260192,,,,,정보 미확보
함덕해수욕장,4,월정리해변,자연관광,12.08,CONT_000000000500496,33.5551118,126.798641,10:00,19:00,10:00,19:00,확인 가능
함덕해수욕장,5,성산일출봉,자연관광,26.36,CONT_000000000500349,33.462147,126.936424,05:00,19:00,05:00,19:00,확인 가능
협재해수욕장,1,곽지해수욕장,자연관광,8.85,CONT_000000000500056,33.45122,126.3058,,,,,정보 미확보
협재해수욕장,2,신창풍차해안도로,기타관광,8.44,CNTS_200000000007676,33.3430267,126.17217,,,,,정보 미확보
협재해수욕장,3,금능해수욕장,자연관광,0.55,CONT_000000000500079,33.390003,126.23591,,,,,정보 미확보
협재해수욕장,4,오설록티뮤지엄,문화관광,10.83,CONT_000000000500457,33.30601,126.2901309,09:00,18:00,09:00,18:00,확인 가능
협재해수욕장,5,판포포구,자연관광,4.89,CNTS_000000000022542,33.36537,126.19965,,,,,정보 미확보
오설록티뮤지엄,1,카멜리아힐,문화관광,7.67,CNTS_000000000001195,33.289135,126.37011,08:30,19:00,08:30,19:00,확인 가능
오설록티뮤지엄,2,협재해수욕장,자연관광,10.83,CONT_000000000500697,33.393845,126.239716,,,,,정보 미확보
오설록티뮤지엄,3,바이나흐튼크리스마스박물관,문화관광,3.53,CNTS_000000000022743,33.308956,126.3279,10:30,18:00,10:30,18:00,확인 가능
오설록티뮤지엄,4,용머리해안,기타관광,8.36,CONT_000000000500471,33.2334272,126.313741,09:00,17:00,09:00,17:00,확인 가능
오설록티뮤지엄,5,서귀포매일올레시장,쇼핑,26.27,CONT_000000000500731,33.24828,126.56415,,,,,정보 미확보
섭지코지,1,성산일출봉,자연관광,4.32,CONT_000000000500349,33.462147,126.936424,05:00,19:00,05:00,19:00,확인 가능
섭지코지,2,아쿠아플라넷/제주,문화관광,1.01,CONT_000000000500565,33.4325283,126.9272108,09:30,18:00,09:30,18:00,확인 가능
섭지코지,3,서귀피안베이커리,음식,1.48,CNTS_200000000012788,33.4352867,126.9218661,,,,,정보 충돌
섭지코지,4,광치기해변,자연관광,3.23,CNTS_000000000018413,33.452452755358465,126.92458139419556,,,,,정보 미확보
섭지코지,5,성산포종합여객터미널,기타관광,5.39,CNTS_000000000022377,33.47211,126.9332,,,,,정보 미확보
주상절리대,1,서귀포매일올레시장,쇼핑,12.91,CONT_000000000500731,33.24828,126.56415,,,,,정보 미확보
주상절리대,2,천제연폭포,자연관광,1.74,CNTS_000000000022879,33.252678,126.41844,09:00,17:40,09:00,17:40,확인 가능
주상절리대,3,천지연폭포,자연관광,12.48,CONT_000000000500618,33.2447173,126.5598201,09:00,18:00,09:00,18:00,확인 가능
주상절리대,4,용머리해안,기타관광,10.44,CONT_000000000500471,33.2334272,126.313741,09:00,17:00,09:00,17:00,확인 가능
주상절리대,5,연돈,음식,,,,,,,,,정보 미확보
용머리해안,1,오설록티뮤지엄,문화관광,8.36,CONT_000000000500457,33.30601,126.2901309,09:00,18:00,09:00,18:00,확인 가능
용머리해안,2,산방산,자연관광,0.36,CONT_000000000500285,33.236614,126.31289,09:00,18:00,09:00,18:00,확인 가능
용머리해안,3,주상절리대,기타관광,10.44,CNTS_000000000020476,33.23834,126.42586,09:00,17:30,09:00,17:30,확인 가능
용머리해안,4,서귀포매일올레시장,쇼핑,23.35,CONT_000000000500731,33.24828,126.56415,,,,,정보 미확보
용머리해안,5,산방산유채꽃밭,기타관광,,,,,,,,,정보 미확보
