rank,place_name,search_radius_m,link_count,median_speed,median_speed_ratio,median_travel_time,nearest_link_distance_m,traffic_data_time
1,서귀포매일올레시장,500,95,31.0,0.7,13.0,11.8,20260827045000
2,제주국제공항,500,11,38.0,0.5857142857142857,17.0,64.2,20260827045000
3,동문재래시장,500,94,29.5,0.6325000000000001,17.5,14.2,20260827045000
4,성산일출봉,500,12,27.0,0.8666666666666667,49.0,51.4,20260827045000
5,함덕해수욕장,500,47,19.0,0.6,34.0,0.9,20260827045000
6,협재해수욕장,500,4,30.5,0.81,63.5,102.6,20260827045000
7,오설록티뮤지엄,500,8,46.0,0.89,51.0,120.0,20260827045000
8,섭지코지,1000,2,31.0,0.6200000000000001,70.0,834.0,20260827045000
9,주상절리대,500,15,39.0,0.82,32.0,89.7,20260827045000
10,용머리해안,500,9,25.0,0.5,55.0,270.2,20260827045000
