rank,place_name,search_radius_m,selected_link_count,nearest_distance_m,farthest_distance_m,baseline_median_speed,current_median_speed,speed_change_percent,historical_min_change_percent,historical_max_change_percent,relative_traffic_status,traffic_data_time
1,서귀포매일올레시장,500,95,11.8,498.5,31.0,31.0,0.0,0.0,3.2,평소 범위 내,20260827045000
2,제주국제공항,500,11,64.2,402.3,31.0,38.0,22.6,0.0,12.9,평소 범위보다 빠름,20260827045000
3,동문재래시장,500,94,14.2,473.8,28.0,29.5,5.4,-3.6,7.1,평소 범위 내,20260827045000
4,성산일출봉,500,12,51.4,474.4,27.0,27.0,0.0,-25.5,5.7,평소 범위 내,20260827045000
5,함덕해수욕장,500,47,0.9,498.1,20.0,19.0,-5.0,-20.0,10.0,평소 범위 내,20260827045000
6,협재해수욕장,500,4,102.6,496.8,28.25,30.5,8.0,-14.0,7.1,평소 범위보다 빠름,20260827045000
7,오설록티뮤지엄,500,8,120.0,415.0,50.0,46.0,-8.0,-4.0,4.0,평소 범위보다 느림,20260827045000
8,섭지코지,1000,2,834.0,985.3,31.5,31.0,-1.6,-4.8,4.8,평소 범위 내,20260827045000
9,주상절리대,500,15,89.7,462.5,39.0,39.0,0.0,-10.3,7.7,평소 범위 내,20260827045000
10,용머리해안,500,9,270.2,494.4,27.5,25.0,-9.1,-17.9,25.9,평소 범위 내,20260827045000
