related_place,category_datalab,alternative_latitude,alternative_longitude,search_radius_m,link_count,nearest_distance_m,baseline_median_speed,current_median_speed,speed_change_percent,historical_min_change,historical_max_change,relative_traffic_status,traffic_data_status,traffic_data_time
천지연폭포,자연관광,33.2447173,126.5598201,500.0,80.0,126.5,29.5,31.0,5.1,-5.1,8.5,평소 범위 내,확인 가능,20260827045000
정방폭포,자연관광,33.244854,126.5718,500.0,50.0,101.1,31.0,32.5,4.8,-9.7,9.7,평소 범위 내,확인 가능,20260827045000
주상절리대,기타관광,33.23834,126.42586,500.0,15.0,89.7,36.5,39.0,6.8,-5.4,16.7,평소 범위 내,확인 가능,20260827045000
오는정김밥,음식,33.249676,126.56757,500.0,107.0,22.9,28.0,30.0,7.1,-10.7,17.9,평소 범위 내,확인 가능,20260827045000
동백포레스트,체험관광,33.299995,126.6297939,500.0,1.0,336.2,50.0,48.0,-4.0,-6.0,4.0,평소 범위 내,확인 가능,20260827045000
동문재래시장,쇼핑,33.5116033,126.5260192,500.0,94.0,14.2,26.25,29.5,12.4,-5.7,3.8,평소 범위보다 빠름,확인 가능,20260827045000
우진해장국/본관,음식,33.5114884,126.5200864,500.0,104.0,31.1,31.0,31.0,0.0,0.0,6.5,평소 범위 내,확인 가능,20260827045000
용두암,기타관광,33.5149624,126.5116869,500.0,46.0,37.4,25.0,23.5,-6.0,-8.0,4.0,평소 범위 내,확인 가능,20260827045000
이호테우해변,자연관광,33.4961851,126.4559518,500.0,28.0,32.4,41.0,40.5,-1.2,-2.4,1.2,평소 범위 내,확인 가능,20260827045000
함덕해수욕장,자연관광,33.5427261,126.6690893,500.0,47.0,0.9,20.0,19.0,-5.0,-10.0,5.0,평소 범위 내,확인 가능,20260827045000
제주국제공항,기타관광,33.5063344,126.4952613,500.0,11.0,64.2,34.0,38.0,11.8,-14.7,20.6,평소 범위 내,확인 가능,20260827045000
섭지코지,기타관광,33.4236948,126.9296022,1000.0,2.0,834.0,33.75,31.0,-8.1,-10.3,4.5,평소 범위 내,확인 가능,20260827045000
아쿠아플라넷/제주,문화관광,33.4325283,126.9272108,500.0,4.0,112.1,34.5,33.5,-2.9,-11.6,11.6,평소 범위 내,확인 가능,20260827045000
성산포종합여객터미널,기타관광,33.47211,126.9332,500.0,14.0,2.5,33.75,32.5,-3.7,-25.0,1.5,평소 범위 내,확인 가능,20260827045000
비자림,자연관광,33.491318,126.811386,500.0,11.0,65.2,35.0,35.0,0.0,-2.9,5.7,평소 범위 내,확인 가능,20260827045000
김녕해수욕장,자연관광,33.5570238,126.7598808,500.0,15.0,64.7,36.5,37.0,1.4,-16.2,8.3,평소 범위 내,확인 가능,20260827045000
월정리해변,자연관광,33.5551118,126.798641,500.0,4.0,397.2,36.5,32.5,-11.0,-16.2,8.3,평소 범위 내,확인 가능,20260827045000
성산일출봉,자연관광,33.462147,126.936424,500.0,12.0,51.4,25.5,27.0,5.9,-11.8,3.9,평소 범위보다 빠름,확인 가능,20260827045000
곽지해수욕장,자연관광,33.45122,126.3058,500.0,8.0,234.7,32.75,33.5,2.3,-9.1,6.2,평소 범위 내,확인 가능,20260827045000
신창풍차해안도로,기타관광,33.3430267,126.17217,1000.0,12.0,724.0,44.5,47.0,5.6,-20.7,17.4,평소 범위 내,확인 가능,20260827045000
금능해수욕장,자연관광,33.390003,126.23591,500.0,14.0,16.2,26.5,32.0,20.8,-22.2,17.3,평소 범위보다 빠름,확인 가능,20260827045000
오설록티뮤지엄,문화관광,33.30601,126.2901309,500.0,8.0,120.0,51.75,46.0,-11.1,-7.6,7.8,평소 범위보다 느림,확인 가능,20260827045000
판포포구,자연관광,33.36537,126.19965,500.0,14.0,69.8,47.25,54.5,15.3,-19.8,11.8,평소 범위보다 빠름,확인 가능,20260827045000
카멜리아힐,문화관광,33.289135,126.37011,,,,,,,,,,ITS 링크 미확보,
협재해수욕장,자연관광,33.393845,126.239716,500.0,4.0,102.6,27.5,30.5,10.9,-3.6,12.7,평소 범위 내,확인 가능,20260827045000
바이나흐튼크리스마스박물관,문화관광,33.308956,126.3279,500.0,4.0,69.9,59.5,59.0,-0.8,-13.2,6.8,평소 범위 내,확인 가능,20260827045000
용머리해안,기타관광,33.2334272,126.313741,500.0,9.0,270.2,27.0,25.0,-7.4,-14.8,25.9,평소 범위 내,확인 가능,20260827045000
서귀포매일올레시장,쇼핑,33.24828,126.56415,500.0,95.0,11.8,30.0,31.0,3.3,-3.3,6.7,평소 범위 내,확인 가능,20260827045000
서귀피안베이커리,음식,33.4352867,126.9218661,500.0,23.0,125.0,29.0,32.0,10.3,-10.3,13.8,평소 범위 내,확인 가능,20260827045000
광치기해변,자연관광,33.452452755358465,126.92458139419556,500.0,7.0,56.0,37.5,42.0,12.0,-20.0,45.7,평소 범위 내,확인 가능,20260827045000
천제연폭포,자연관광,33.252678,126.41844,500.0,35.0,137.2,38.0,38.0,0.0,-7.9,2.6,평소 범위 내,확인 가능,20260827045000
연돈,음식,,,,,,,,,,,,좌표 미확보,
산방산,자연관광,33.236614,126.31289,500.0,13.0,48.3,27.5,27.0,-1.8,-7.1,14.8,평소 범위 내,확인 가능,20260827045000
산방산유채꽃밭,기타관광,,,,,,,,,,,,좌표 미확보,
